% Xfiducial, Yfiducial=(  4.280  50.000), ( 95.720  50.000), ( 50.000  95.720), ( 66.256   7.267) mm 
% Sample, x(mm), y(mm), dx(mm), dy(mm), A(fraction), B(fraction), C(fraction), D(fraction), E(fraction), F(fraction), G(fraction), H(fraction), code(0=sample; 1=spectral reference; 2=ABCD control; 3=EFGH control) 
198.0,63.999,75.523,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
199.0,66.031,75.523,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
200.0,68.063,75.523,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0
201.0,70.095,75.523,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
202.0,72.127,75.523,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
203.0,74.159,75.523,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
204.0,76.191,75.523,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
205.0,78.223,75.523,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
206.0,80.255,75.523,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
207.0,82.287,75.523,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
208.0,84.319,75.523,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0
209.0,15.231,73.491,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
210.0,17.263,73.491,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
211.0,19.295,73.491,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0
212.0,21.327,73.491,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
213.0,23.359,73.491,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
214.0,25.391,73.491,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
215.0,27.423,73.491,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
216.0,29.455,73.491,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
217.0,31.487,73.491,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
218.0,33.519,73.491,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
219.0,35.551,73.491,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0
220.0,37.583,73.491,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
221.0,39.615,73.491,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
222.0,41.647,73.491,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
223.0,43.679,73.491,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
224.0,45.711,73.491,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
225.0,47.743,73.491,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
226.0,49.775,73.491,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
227.0,51.807,73.491,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0
228.0,53.839,73.491,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
229.0,55.871,73.491,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
230.0,57.903,73.491,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
231.0,59.935,73.491,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
232.0,61.967,73.491,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
233.0,63.999,73.491,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
234.0,66.031,73.491,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
235.0,68.063,73.491,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0
236.0,70.095,73.491,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
237.0,72.127,73.491,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
